Hotel,Area,Locality,One way ($),Round trip ($),Tier matched to,Aliases,Owner OK? (Y/N),Notes
"Hyatt Ziva Rose Hall","Montego Bay","Rose Hall","10","20","existing Montego Bay rate","Hyatt Ziva","",""
"Hyatt Zilara Rose Hall","Montego Bay","Rose Hall","10","20","existing Montego Bay rate","Hyatt Zilara","",""
"Hilton Rose Hall Resort & Spa","Montego Bay","Rose Hall","10","20","existing Montego Bay rate","","",""
"Dreams Rose Hall Resort & Spa","Montego Bay","Rose Hall","10","20","existing Montego Bay rate","","",""
"Sea Castles Ocean Front Resort","Montego Bay","Rose Hall","10","20","existing Montego Bay rate","","",""
"Holiday Inn Rose Hall Resort","Montego Bay","Rose Hall","7.5","15","existing Montego Bay rate","Holiday Inn Montego Bay","",""
"Royalton White Sands","Falmouth & Trelawny","","15","30","existing Falmouth & Trelawny rate","","",""
"Meliá Braco Village","Falmouth & Trelawny","Braco","20","40","existing Falmouth & Trelawny rate","","",""
"Glistening Waters Hotel & Attraction","Falmouth & Trelawny","","17.5","35","existing Falmouth & Trelawny rate","","",""
"Hibiscus Lodge Hotel","Ocho Rios & St. Ann","","25","50","existing Ocho Rios & St. Ann rate","","",""
"Sandcastles Jamaica","Ocho Rios & St. Ann","","25","50","existing Ocho Rios & St. Ann rate","","",""
"Fisherman's Point","Ocho Rios & St. Ann","","25","50","existing Ocho Rios & St. Ann rate","","",""
"Jewel Paradise Cove Beach Resort & Spa","Ocho Rios & St. Ann","Runaway Bay","18","36","existing Ocho Rios & St. Ann rate","","",""
"The Cardiff Hotel & Spa","Ocho Rios & St. Ann","Runaway Bay","18","36","existing Ocho Rios & St. Ann rate","","",""
"Sandals Negril","Negril","Seven Mile Beach","25","50","existing Negril rate","","",""
"Beaches Negril","Negril","Seven Mile Beach","25","50","existing Negril rate","","",""
"Couples Negril","Negril","Seven Mile Beach","25","50","existing Negril rate","","",""
"Couples Swept Away","Negril","Seven Mile Beach","25","50","existing Negril rate","","",""
"Royalton Negril","Negril","Seven Mile Beach","25","50","existing Negril rate","","",""
"Azul Beach Resort Negril","Negril","Seven Mile Beach","25","50","existing Negril rate","","",""
"Hedonism II","Negril","Seven Mile Beach","25","50","existing Negril rate","","",""
"Grand Lido Negril","Negril","Seven Mile Beach","25","50","existing Negril rate","","",""
"Riu Palace Tropical Bay","Negril","Seven Mile Beach","25","50","existing Negril rate","","",""
"Coco La Palm Seaside Resort","Negril","Seven Mile Beach","25","50","existing Negril rate","","",""
"Firefly Beach Cottages","Negril","Seven Mile Beach","25","50","existing Negril rate","","",""
"White Sands Negril","Negril","Seven Mile Beach","25","50","existing Negril rate","","",""
"Charela Inn","Negril","Seven Mile Beach","25","50","existing Negril rate","","",""
"Travellers Beach Resort","Negril","Seven Mile Beach","25","50","existing Negril rate","","",""
"Negril Palms Hotel","Negril","Seven Mile Beach","25","50","existing Negril rate","","",""
"Idle Awhile Beach","Negril","Seven Mile Beach","25","50","existing Negril rate","","",""
"Rondel Village Resort & Spa","Negril","Seven Mile Beach","25","50","existing Negril rate","","",""
"Rockhouse Hotel","Negril","West End","30","60","existing Negril rate","cliffs","",""
"Tensing Pen","Negril","West End","30","60","existing Negril rate","cliffs","",""
"Catcha Falling Star","Negril","West End","30","60","existing Negril rate","cliffs","",""
"Xtabi Resort","Negril","West End","30","60","existing Negril rate","cliffs","",""
"South Coast All Inclusive","South Coast","Whitehouse","30","60","existing South Coast rate","","",""
"Bluefields on the Bay","South Coast","Whitehouse","30","60","existing South Coast rate","","",""
"Jake's Hotel","South Coast","Treasure Beach","30","60","existing South Coast rate","","",""
"Idlers' Rest Beach Hotel","South Coast","Black River","30","60","existing South Coast rate","","",""
